property,propertyLabel
http://www.wikidata.org/entity/P631,structural engineer
http://www.wikidata.org/entity/P632,cultural properties of Belarus reference number
http://www.wikidata.org/entity/P633,Quebec cultural heritage directory ID
http://www.wikidata.org/entity/P634,captain
http://www.wikidata.org/entity/P635,ISTAT ID
http://www.wikidata.org/entity/P636,route of administration
http://www.wikidata.org/entity/P637,RefSeq Protein ID
http://www.wikidata.org/entity/P638,PDB ID
http://www.wikidata.org/entity/P639,RefSeq RNA ID
http://www.wikidata.org/entity/P640,Léonore ID
http://www.wikidata.org/entity/P641,sport
http://www.wikidata.org/entity/P642,of
http://www.wikidata.org/entity/P644,genomic start
http://www.wikidata.org/entity/P645,genomic end
http://www.wikidata.org/entity/P646,Freebase ID
http://www.wikidata.org/entity/P647,drafted by
http://www.wikidata.org/entity/P648,Open Library ID
http://www.wikidata.org/entity/P649,NRHP reference number
http://www.wikidata.org/entity/P650,RKDartists ID
http://www.wikidata.org/entity/P651,Biografisch Portaal number
http://www.wikidata.org/entity/P652,UNII
http://www.wikidata.org/entity/P653,PubMed Health
http://www.wikidata.org/entity/P654,direction relative to location
http://www.wikidata.org/entity/P655,translator
http://www.wikidata.org/entity/P656,RefSeq
http://www.wikidata.org/entity/P657,RTECS number
http://www.wikidata.org/entity/P658,tracklist
http://www.wikidata.org/entity/P659,genomic assembly
http://www.wikidata.org/entity/P660,EC classification
http://www.wikidata.org/entity/P661,ChemSpider ID
http://www.wikidata.org/entity/P662,PubChem CID
http://www.wikidata.org/entity/P663,DSM-IV
http://www.wikidata.org/entity/P664,organizer
http://www.wikidata.org/entity/P665,KEGG ID
http://www.wikidata.org/entity/P667,ICPC 2 ID
http://www.wikidata.org/entity/P668,GeneReviews ID
http://www.wikidata.org/entity/P669,located on street
http://www.wikidata.org/entity/P670,street number
http://www.wikidata.org/entity/P671,Mouse Genome Informatics ID
http://www.wikidata.org/entity/P672,MeSH Code
http://www.wikidata.org/entity/P673,eMedicine
http://www.wikidata.org/entity/P674,characters
http://www.wikidata.org/entity/P675,Google Books ID
http://www.wikidata.org/entity/P676,lyrics by
http://www.wikidata.org/entity/P677,ÚSOP code
http://www.wikidata.org/entity/P678,incertae sedis
http://www.wikidata.org/entity/P679,ZVG number
http://www.wikidata.org/entity/P680,molecular function
http://www.wikidata.org/entity/P681,cell component
http://www.wikidata.org/entity/P682,biological process
http://www.wikidata.org/entity/P683,ChEBI ID
http://www.wikidata.org/entity/P684,ortholog
http://www.wikidata.org/entity/P685,NCBI Taxonomy ID
http://www.wikidata.org/entity/P686,Gene Ontology ID
http://www.wikidata.org/entity/P687,BHL Page ID
http://www.wikidata.org/entity/P688,encodes
http://www.wikidata.org/entity/P689,afflicts
http://www.wikidata.org/entity/P690,space group
http://www.wikidata.org/entity/P691,NKCR AUT ID
http://www.wikidata.org/entity/P692,Gene Atlas Image
http://www.wikidata.org/entity/P693,cleavage
http://www.wikidata.org/entity/P694,replaced synonym (for nom. nov.)
http://www.wikidata.org/entity/P695,UN number
http://www.wikidata.org/entity/P696,Neurolex ID
http://www.wikidata.org/entity/P697,ex taxon author
http://www.wikidata.org/entity/P698,PubMed ID
http://www.wikidata.org/entity/P699,Disease Ontology ID
http://www.wikidata.org/entity/P700,Kemler code
http://www.wikidata.org/entity/P701,Dodis
http://www.wikidata.org/entity/P702,encoded by
http://www.wikidata.org/entity/P703,found in taxon
http://www.wikidata.org/entity/P704,Ensembl Transcript ID
http://www.wikidata.org/entity/P705,Ensembl Protein ID
http://www.wikidata.org/entity/P706,located on terrain feature
http://www.wikidata.org/entity/P707,satellite bus
http://www.wikidata.org/entity/P708,diocese
http://www.wikidata.org/entity/P709,Historic Scotland ID
http://www.wikidata.org/entity/P710,participant
http://www.wikidata.org/entity/P711,"Strunz 8th edition (series ID, updated)"
http://www.wikidata.org/entity/P712,Nickel-Strunz 9th edition (updated 2009)
